R,G,B,SOC
0.3415322517466213,0.29361200310339514,0.24421744581132065,3.3319518027202797
0.4948813911434412,0.44978944391495534,0.3235662921485505,2.400839825698156
0.27448851151587167,0.25341221100678685,0.18866703248109207,3.627119279302201
0.1941352328243394,0.1739606178775271,0.13218057703062766,4.020392602934865
0.6615405489999437,0.5642223901548079,0.4673397067712653,1.766360519674966
0.576616789154306,0.47319667294902507,0.3370733725908445,3.2720378350400763
0.5643885824283633,0.47274685019893153,0.38828701683608374,2.63813522758398
0.5241418809394721,0.4799717639885027,0.3424460800095496,2.366251851460138
0.1753908955227632,0.1564361413027731,0.1185453689057727,4.441844852661362
0.38257884291430677,0.3515558505533976,0.26113692371324887,2.891990561054511
0.764694071431965,0.6522496745031412,0.466558758722977,1.4425776735120648
0.18902904220500047,0.17841151692166915,0.1445883204184815,4.10344390156535
0.7116273673050372,0.6258933116748343,0.500463052379953,1.5386262474988763
0.7202388419962197,0.624871979838977,0.47107949835052165,0.7577098843584636
0.1832758826532949,0.15087246836796347,0.11586712632059672,4.386549087482864
0.5740721000526756,0.47583988579973857,0.3540814325839029,1.6547180898973421
0.5086383896126689,0.4279215627493397,0.3261276286524187,1.7447166308610553
0.5383836146053832,0.43718562560818464,0.3322612566392568,2.333241140357935
0.46429360580150136,0.40303191082561524,0.3015880262442536,3.209623877246922
0.33394230455704427,0.30382251966932794,0.2581469484905974,2.776839907958788
0.3435217168961516,0.29464987045336455,0.22856134293936373,2.6869676377603287
0.5149807884621347,0.4478900307771734,0.31472008435892956,2.1020901045198106
0.4074308334305673,0.3385501845692447,0.2832845683077323,2.7188732422333355
0.6626554612912848,0.5634857756378434,0.40674051332791816,2.1826889191799754
0.42201485047482,0.39196818756796753,0.29293049475397664,2.9275397121216096
0.2435375485039631,0.228044873156287,0.16582019648382942,3.2498804467612254
0.24808935137344007,0.2212057586907229,0.16064236358084796,2.8816835972272217
0.18590687764028546,0.17518618411402911,0.12527682968308518,4.307501844551827
0.6167241759073697,0.5798212119068444,0.4377521105481271,1.5741310805048419
0.34000628042769004,0.31340188071978403,0.22873535811313925,3.2716909414273636
0.279203016930223,0.2421302824855534,0.20542389518319168,3.306270276602348
0.6903865495018388,0.5868071761056851,0.49079083823686465,1.2830140474123777
0.5191942278210102,0.47716804842637933,0.34217255037760064,2.666484643505356
0.2035208369881125,0.17415582951757466,0.13711991742503252,4.239171762594479
0.5042490730549682,0.4437232448947323,0.31196715008018705,2.4001514361927856
0.25332318396872905,0.21380912824855985,0.17223529860669473,3.582909581087248
0.5898955507069243,0.518557970447523,0.4147953400855708,2.3112854659106468
0.2270069721713997,0.21400269963204221,0.1511684901822722,4.120550876182893
0.43924744297804474,0.3605524549940778,0.2923776837998342,3.0808404460316496
0.7271885822021794,0.6090145765039124,0.43772845237280306,2.2855385848254883
0.6682240244969516,0.53804615730427,0.377667820477382,1.4767420083750173
0.19418617337135716,0.17235444402595543,0.12245360669781047,3.837331730219292
0.7745120417034058,0.7292062061784004,0.5189704037312972,1.2953775459809929
0.5784835050444141,0.5392016298849112,0.40293453618270086,1.8807992643216074
0.6172044540958825,0.5341006647642758,0.4320697291739029,2.185965348959602
0.6333248973371628,0.6005525652529603,0.4314007670212607,1.8655428961717007
0.7270286287256641,0.681284031277317,0.5125022836939924,1.7722942314414154
0.23706468392426544,0.19367327653715127,0.13822043511781942,4.220585487365648
0.6550334773936272,0.5283609965290625,0.38052695444728296,1.9024634893353833
0.6946944829269613,0.5805727197771721,0.4728023799474686,1.9287408927645997
0.6890480965404784,0.6034489794522836,0.4464920670686469,1.477652405847764
0.16895204773787575,0.1554257919526228,0.10937024949024904,4.330808623347823
0.40374341932978,0.3276601709910667,0.23864401767280613,3.4644541680323253
0.4342137949092266,0.40168823975379025,0.2983529600917549,2.516496733915212
0.4884127912823657,0.4502419513555642,0.3286614799109149,2.7308705653488032
0.47036723820769466,0.4094821906946394,0.28900376841876746,2.555501225697116
0.23477903343560236,0.21997805249165128,0.1675391596859056,3.563548881553998
0.789849295146407,0.7224473093190612,0.5976214612919839,0.6038293881356342
0.19270650924675548,0.18250877184446682,0.12868319311485557,4.175313990520402
0.5265346505336455,0.4984903892770441,0.4121265413422957,1.7970897498125211
0.5275036363063732,0.49388323540292906,0.3574255586121131,1.9988692186166652
0.7703196126120008,0.7061485369130389,0.5370147303379411,1.0143139924452513
0.2783384553838889,0.24837988937342848,0.19692309344228126,3.5199357442476127
0.20416151040976327,0.17452304191149112,0.12730508921541595,3.7517912826913995
0.7245117415266042,0.61485617290867,0.4460220552685372,1.3263724292613484
0.16020252541811342,0.14628816869076489,0.11488267448841591,3.910303559657248
0.6671365207797909,0.5870163919018201,0.41515080096385554,1.8576999882490737
0.649323785628403,0.5864088732533344,0.4545687453267444,2.026966093152247
0.7168284608695609,0.5966009930134634,0.48612004980967294,1.4785688547423235
0.7454715561532109,0.597325342062805,0.4546484410301811,1.4889837492974003
0.3279785753965598,0.29885638113120777,0.23793326126253514,2.9993618352916576
0.3036477321486897,0.24919794886644447,0.20691537441762245,3.8545663357570406
0.35183789836950197,0.2831640387716453,0.23091281044304754,3.2545282131847455
0.6151681182970081,0.5588337455996323,0.4431798539340199,1.6291275815255088
0.20377806801471218,0.1678732961003476,0.13023717010319508,3.2643834672646603
0.5890661879528772,0.5336699500341084,0.40692110525306774,2.0613410126657277
